Champion,Pos,GP,P%,B%,P+B%,W%,CTR%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,GOLD%,WPM,WCPM
Aatrox,Top,48,3.2%,1.7%,4.9%,35%,56%,131,157,174,1.9,60.0%,23.6%,2%,-131,29,-3.7,8.3,25.1%,509,24.7%,22.5%,0.39,0.19
Ahri,Middle,292,19.5%,12.7%,32.1%,50%,50%,901,545,1764,4.9,71.4%,15.0%,8%,60,11,1,8.5,25.0%,532,25.7%,22.8%,0.49,0.31
Akali,Middle,146,9.7%,13.5%,23.5%,39%,63%,566,356,487,3,63.4%,20.0%,5%,-63,74,-0.3,8.2,24.8%,486,23.9%,23.2%,0.24,0.21
Alistar,Support,139,9.3%,7.7%,16.9%,49%,65%,81,453,1225,2.9,71.4%,24.7%,19%,-5,-32,0.2,1,1.9%,130,6.2%,8.8%,1.72,0.3
Annie,Middle,285,19.0%,28.0%,50.8%,52%,39%,682,714,1910,3.6,71.2%,20.9%,5%,28,13,0.5,7.5,20.3%,542,25.8%,21.2%,0.32,0.21
Annie,Support,57,3.8%,28.0%,50.8%,56%,32%,56,141,494,3.9,78.0%,22.1%,7%,-74,-169,-6.8,0.7,2.6%,227,10.8%,9.8%,0.99,0.43
Aphelios,ADC,520,34.6%,10.2%,44.8%,48%,43%,1966,1245,2098,3.3,66.5%,18.8%,7%,23,-34,1.5,9.8,33.1%,605,28.6%,27.7%,0.41,0.37
Ashe,ADC,73,4.9%,26.6%,38.7%,38%,67%,224,193,438,3.4,72.0%,18.8%,16%,76,47,1,8.8,27.3%,542,23.6%,24.3%,0.41,0.37
Ashe,Support,109,7.3%,26.6%,38.7%,49%,22%,85,294,907,3.4,73.2%,20.3%,11%,110,42,-6.4,1.1,4.2%,355,15.2%,10.6%,2.04,0.68
Aurelion Sol,Middle,20,1.3%,1.5%,2.9%,40%,65%,96,33,87,5.5,78.5%,12.0%,5%,-187,-196,-9.2,9.5,30.2%,673,32.4%,26.9%,0.45,0.19
Azir,Middle,381,25.4%,16.8%,42.3%,49%,46%,1132,904,1812,3.3,67.6%,19.6%,13%,-12,56,1.2,9,26.9%,631,29.4%,24.2%,0.41,0.26
Blitzcrank,Support,78,5.2%,6.3%,11.5%,58%,94%,71,258,632,2.7,60.9%,26.2%,12%,-104,-129,0.6,1.1,2.1%,167,7.7%,9.0%,1.73,0.32
Braum,Support,102,6.8%,4.1%,10.9%,45%,78%,48,321,875,2.9,77.0%,23.0%,12%,-39,25,0.9,1.1,2.0%,157,7.4%,8.8%,1.62,0.31
Caitlyn,ADC,82,5.5%,21.5%,27.8%,57%,29%,314,137,327,4.7,65.7%,15.5%,21%,222,45,6,9.6,31.0%,561,25.7%,26.9%,0.31,0.39
Caitlyn,Support,13,0.9%,21.5%,27.8%,54%,69%,20,38,87,2.8,60.1%,20.5%,23%,483,2,-0.4,1.6,7.0%,393,15.6%,14.6%,1.59,0.98
Camille,Top,45,3.0%,2.0%,5.0%,49%,78%,138,128,176,2.5,53.0%,21.9%,11%,-12,-9,-4.7,8.1,24.6%,458,21.1%,23.5%,0.29,0.19
Cassiopeia,Middle,28,1.9%,2.9%,4.8%,43%,82%,64,63,123,3,61.5%,18.5%,11%,-36,-90,-0.2,8.6,24.2%,470,23.2%,23.1%,0.44,0.2
Cho'Gath,Top,15,1.0%,0.5%,1.6%,47%,87%,29,44,59,2,55.3%,21.2%,13%,-79,-101,0.5,7.4,20.4%,461,20.9%,21.6%,0.41,0.16
Darius,Top,10,0.7%,0.5%,1.1%,50%,90%,41,27,30,2.6,58.2%,22.0%,10%,-257,-460,-18,7.9,27.3%,430,21.1%,23.6%,0.28,0.2
Draven,ADC,91,6.1%,9.7%,15.7%,47%,74%,351,208,363,3.4,65.2%,17.9%,8%,-1,-19,0.8,9.2,30.4%,509,25.0%,28.6%,0.34,0.29
Elise,Jungle,102,6.8%,25.6%,32.4%,54%,39%,240,244,553,3.3,66.0%,21.1%,27%,124,-68,-2.1,5.3,15.6%,408,18.2%,17.6%,0.69,0.54
Ezreal,ADC,86,5.7%,2.0%,7.8%,45%,91%,307,168,358,4,66.4%,15.2%,15%,-23,22,-0.9,9.6,31.5%,694,30.6%,26.5%,0.33,0.3
Fiora,Top,109,7.3%,13.1%,20.4%,50%,71%,290,214,311,2.8,47.4%,16.1%,8%,4,-37,1.3,9.1,29.1%,502,23.3%,24.9%,0.32,0.21
Galio,Middle,31,2.1%,2.9%,5.2%,45%,81%,59,81,203,3.2,68.4%,20.4%,6%,-242,-105,-4.8,7.5,23.9%,374,18.8%,19.6%,0.32,0.19
Gangplank,Top,26,1.7%,0.6%,2.3%,62%,92%,77,74,147,3,63.3%,25.3%,23%,-10,-34,-5.2,8.6,27.7%,701,30.9%,26.9%,0.36,0.1
Gnar,Top,229,15.3%,11.9%,27.2%,50%,69%,434,601,907,2.2,52.0%,21.6%,7%,-98,25,-0.8,8.7,25.9%,510,24.2%,23.5%,0.35,0.2
Gragas,Jungle,24,1.6%,9.5%,26.8%,29%,67%,52,91,136,2.1,60.6%,23.3%,8%,-117,-112,-2.7,5.6,17.2%,469,18.9%,17.0%,0.47,0.31
Gragas,Middle,73,4.9%,9.5%,26.8%,42%,56%,124,187,406,2.8,61.8%,19.7%,10%,-98,29,-2,7.7,22.1%,451,22.6%,19.9%,0.31,0.23
