teamname,wins,total_games,win_rate
100 Thieves,132,306,0.43137254901960786
100 Thieves Challengers,144,240,0.6
19esports,108,168,0.6428571428571429
3BL Esports,78,246,0.3170731707317073
5 Ronin,6,84,0.07142857142857142
A One Man Army,54,108,0.5
AOE Gold,222,492,0.45121951219512196
AXIZ,138,390,0.35384615384615387
AXIZ Academy,18,120,0.15
Aegis,186,372,0.5
Aethernum eSports,6,96,0.0625
Aguilas Doradas,30,126,0.23809523809523808
Akroma,96,216,0.4444444444444444
Alior Bank Team,228,420,0.5428571428571428
All Knights,60,204,0.29411764705882354
Ankora Gaming,42,168,0.25
Anorthosis Famagusta Esports,384,624,0.6153846153846154
Antares Esports,30,114,0.2631578947368421
Anubis Gaming,180,318,0.5660377358490566
Anyone's Legend,150,480,0.3125
Anyone's Legend.Young,234,510,0.4588235294117647
Apex Mission Impossible,24,54,0.4444444444444444
Astralis,102,252,0.40476190476190477
Atheris Esports,54,126,0.42857142857142855
Atleta Esport,78,126,0.6190476190476191
Atletec,150,318,0.4716981132075472
Away from Normal,6,42,0.14285714285714285
Axolotl,84,192,0.4375
BISONS ECLUB,168,312,0.5384615384615384
BK ROG Esports,186,342,0.543859649122807
BOOBA,36,42,0.8571428571428571
BRION,78,264,0.29545454545454547
BRION Academy,150,222,0.6756756756756757
BRION Challengers,60,240,0.25
BRUTE,108,264,0.4090909090909091
BWE Esports,18,54,0.3333333333333333
Bandits Gaming,168,234,0.717948717948718
Barcelona BG,30,96,0.3125
Barça eSports,144,264,0.5454545454545454
Benelux United,30,84,0.35714285714285715
Berlin International Gaming,180,324,0.5555555555555556
Beyond Gaming,240,372,0.6451612903225806
Beşiktaş Esports,84,222,0.3783783783783784
Bilibili Gaming,546,852,0.6408450704225352
Bilibili Gaming Junior,264,534,0.4943820224719101
Bis Esports,138,246,0.5609756097560976
Boavista FC,18,168,0.10714285714285714
Boca Juniors Gaming,36,78,0.46153846153846156
Burning Core,150,360,0.4166666666666667
Burning Core Academy,24,132,0.18181818181818182
Byteway Esports,66,132,0.5
CB Gaming,30,102,0.29411764705882354
CCG Esports,72,162,0.4444444444444444
CERBERUS Esports,240,504,0.47619047619047616
CLG Challengers,138,228,0.6052631578947368
CLG Faith,12,210,0.05714285714285714
CTBC Flying Oyster,252,426,0.5915492957746479
Chiefs Esports Club,240,414,0.5797101449275363
Chilli Esport,60,168,0.35714285714285715
Cincinnati Fear,348,594,0.5858585858585859
Cloud9,288,414,0.6956521739130435
Cloud9 Challengers,216,288,0.75
Cold Hearted,12,18,0.6666666666666666
ConViction,12,66,0.18181818181818182
Counter Logic Gaming,66,156,0.4230769230769231
Cremas Esports,36,84,0.42857142857142855
Crest Gaming Act,108,324,0.3333333333333333
Crest Gaming Act Academy,72,144,0.5
Cruzados Esports,36,72,0.5
Crvena zvezda Esports,90,192,0.46875
Cryptova,84,228,0.3684210526315789
Cyber Wolves,180,384,0.46875
Cyberground Gaming,78,192,0.40625
DREN Esports,84,228,0.3684210526315789
DRX,168,558,0.3010752688172043
DRX Academy,60,168,0.35714285714285715
DRX Challengers,432,702,0.6153846153846154
Dango,6,24,0.25
Dark Passage,102,228,0.4473684210526316
Deep Cross Gaming,174,336,0.5178571428571429
Descuydado Aucas Esports,78,168,0.4642857142857143
Descuydado Esports,102,144,0.7083333333333334
DetonatioN FocusMe,312,414,0.7536231884057971
DetonatioN FocusMe Academy,42,114,0.3684210526315789
Dewish Team,24,216,0.1111111111111111
Diamant Esports,282,486,0.5802469135802469
Diamond Doves,30,90,0.3333333333333333
Dignitas,84,270,0.3111111111111111
Dignitas Challengers,192,270,0.7111111111111111
Dire Wolves,126,240,0.525
Disguised,204,306,0.6666666666666666
Domino esports,54,174,0.3103448275862069
Douyin Tony Top,48,60,0.8
Dplus KIA,348,570,0.6105263157894737
Dplus KIA  Academy,156,222,0.7027027027027027
Dplus KIA Challengers,504,762,0.6614173228346457
Dream Makers,12,42,0.2857142857142857
Dream Team,6,24,0.25
Dsyre Esports,228,378,0.6031746031746031
Dynamo Eclot,138,246,0.5609756097560976
E WIE EINFACH E-SPORTS,72,216,0.3333333333333333
EBRO,72,186,0.3870967741935484
ECORP,150,252,0.5952380952380952
EDG Youth Team,240,450,0.5333333333333333
EDward Gaming,378,684,0.5526315789473685
EGN Esports,72,168,0.42857142857142855
ENEMI3S,48,132,0.36363636363636365
ERKO Esports,66,180,0.36666666666666664
EXILE esports,72,168,0.42857142857142855
Eclipse Gaming,144,282,0.5106382978723404
